사업자번호,최종BM점수,최종BM등급,핵심파트너최종점수 ,핵심파트너등급 ,핵심파트너점수,핵심활동최종점수,핵심활동등급,핵심활동점수  ,핵심자원 최종 점수,핵심자원등급 ,핵심자원점수 ,가치제안최종점수,가치제안등급,가치제안점수,마케팅채널최종점수,마케팅채널등급,마케팅채널점수,고객관계최종점수,고객관계등급,고객관계점수,비용구조최종점수,비용구조 등급,비용구조 점수,수익구조최종점수,수익구조 등급,수익구조 점수,고객관계최종점수,고객관계등급
1996,79,B,4,C,6,,B,10,,A,20,,A,5,,C,8,,A,7,,B,3,,D,16,,A
1997,69,B,5,C,6,,B,10,,A,15,,A,6,,B,5,,C,6,,C,4,,C,12,,A
1998,76,B,2,D,6,,B,10,,A,25,,A,6,,B,6,,B,6,,C,3,,D,12,,A
1999,64,B,2,D,3,,D,7,,B,20,,A,8,,A,5,,C,4,,C,3,,D,12,,A
2000,64,B,5,C,2,,E,7,,B,15,,A,8,,A,8,,A,4,,C,3,,D,12,,A
2001,74,B,5,C,2,,E,7,,B,20,,A,6,,B,8,,A,4,,C,1,,E,20,,A
2002,83,A,5,C,5,,C,10,,A,20,,A,8,,A,8,,A,7,,B,4,,C,16,,A
2003,65,B,5,C,5,,C,7,,B,15,,A,5,,C,5,,C,6,,C,1,,E,16,,A
2004,78,B,5,C,6,,B,10,,A,15,,A,8,,A,6,,B,7,,B,4,,C,16,,A
2005,72,B,5,C,8,,A,10,,A,20,,A,6,,B,6,,B,6,,C,3,,D,8,,A
2006,79,B,4,C,8,,A,10,,A,20,,A,3,,D,5,,C,6,,C,4,,C,20,,A
2007,62,B,5,C,5,,C,5,,C,15,,A,5,,C,5,,C,6,,C,1,,E,16,,A
2008,73,B,5,C,6,,B,7,,B,15,,A,8,,A,3,,D,4,,C,4,,C,20,,A
2009,71,B,5,C,3,,D,10,,A,20,,A,5,,C,8,,A,6,,C,3,,D,12,,A
276,73,B,4,C,8,,A,10,,A,15,,A,8,,A,6,,B,7,,B,3,,D,12,,A
2010,60,B,4,C,5,,C,7,,B,10,,A,5,,C,5,,C,6,,C,3,,D,16,,A
2011,75,B,5,C,3,,D,10,,A,15,,A,6,,B,6,,B,7,,B,3,,D,20,,A
2012,58,C,5,C,3,,D,7,,B,15,,A,5,,C,6,,B,1,,E,3,,D,12,,A
2013,74,B,5,C,6,,B,10,,A,20,,A,3,,D,6,,B,4,,C,3,,D,16,,A
2014,65,B,3,D,6,,B,10,,A,15,,A,5,,C,5,,C,7,,B,3,,D,12,,A
2015,72,B,2,D,5,,C,7,,B,20,,A,8,,A,8,,A,7,,B,3,,D,12,,A
2016,69,B,2,D,5,,C,7,,B,15,,A,8,,A,6,,B,6,,C,4,,C,16,,A
2017,76,B,5,C,6,,B,12,,A,15,,A,8,,A,5,,C,4,,C,4,,C,16,,A
2018,77,B,2,D,6,,B,12,,A,15,,A,6,,B,5,,C,7,,B,7,,B,16,,A
2019,74,B,3,D,5,,C,10,,A,15,,A,6,,B,8,,A,6,,C,6,,C,16,,A
2020,53,C,4,C,3,,D,2,,D,15,,A,3,,D,5,,C,7,,B,1,,E,12,,A
2021,60,B,2,D,6,,B,2,,D,15,,A,6,,B,5,,C,7,,B,4,,C,12,,A
2022,62,B,1,E,6,,B,7,,B,15,,A,3,,D,5,,C,4,,C,4,,C,16,,A
2023,66,B,1,E,6,,B,7,,B,20,,A,3,,D,6,,B,6,,C,4,,C,12,,A
2024,69,B,1,E,6,,B,7,,B,15,,A,8,,A,6,,B,7,,B,6,,C,12,,A
2025,70,B,4,C,6,,B,7,,B,15,,A,6,,B,5,,C,7,,B,7,,B,12,,A
2026,82,A,4,C,6,,B,12,,A,15,,A,8,,A,6,,B,7,,B,7,,B,16,,A
2027,65,B,5,C,2,,E,12,,A,15,,A,3,,D,5,,C,7,,B,4,,C,12,,A
2028,42,C,4,C,2,,E,2,,D,15,,A,3,,D,5,,C,3,,D,4,,C,4,,C
2029,60,C,1,E,3,,D,7,,B,20,,A,3,,D,3,,D,4,,C,6,,C,12,,A
700,69,B,1,E,5,,C,7,,B,15,,A,8,,A,8,,A,6,,C,7,,B,12,,A
