사업자등록번호,데이터수집일자,조사년도,분석기업매출액,산업평균매출액,분석기업매출액증감률,산업평균매출액증감률,기업연구개발액,평균연구개발액,기업연구개발액증감률,평균연구개발액증감률,기업특허실용신안출원건수,평균특허실용신안출원건수,기업특허실용신안생산력금액,평균특허실용신안생산력금액
1058532745,20220317,2021,,,,,,,,,,,, 
1058212530,20220317,2021,,,,,,,,,,,, 
1052232871,20220317,2017,,,,11,,565.59,,12,,,, 
1058214601,20220317,2019,,,,11,,63.75,,7,,,, 
1058156720,20220317,2018,4824748,,8.76,14,,11634.01,,16,,,, 
1058272805,20220317,2017,,,,,,,,,,,, 
1058269163,20220317,2018,,,,14,,11634.01,,16,,,, 
1053361450,20220317,2019,,,,10,,13956.81,,205,,,, 
1058661228,20220317,2018,,,,7,,754.82,,123,,,, 
1058723390,20220317,2017,,3485855.73,,10,,128764.94,,21,,0.4,,28
1058729910,20220317,2018,,,,7,,754.82,,123,,,, 
1058197167,20220317,2018,2765907,3578498.43,13.03,5,,139600.54,,9,,0.41,,26
1058535927,20220317,2020,,,,8,,,,,,,, 
1058214839,20220317,2018,1975615,,20.28,7,,65.13,,17,,,, 
1052081854,20220317,2021,,,,,,,,,,,, 
1058190048,20220317,2017,,,,15,,4887.58,,2,,,, 
1058537226,20220317,2018,,70848.07,,6,,595.71,,53,,0.0,,5
1052382363,20220317,2021,,,,,,,,,,,, 
1058633528,20220317,2020,,,,1,,,,,,,, 
1058720490,20220317,2018,,,,7,,65.13,,17,,,, 
1052238633,20220317,2018,,,,7,,754.82,,35,,,, 
1058237395,20220317,2017,,,,11,,565.59,,12,,,, 
1058209321,20220317,2021,,,,,,,,,,,, 
1058645500,20220317,2017,5297408,,34.3,15,,4887.58,,2,,,, 
1058612033,20220317,2020,,,,5,,,,,,,, 
1058624413,20220317,2017,624306,,49.49,11,,10468.07,,11,,,, 
1058275423,20220317,2018,,,,,,,,,,,, 
1058672216,20220317,2018,,,,1,,4791.89,,1,,,, 
1058314933,20220317,2018,,,,14,,11634.01,,16,,,, 
1058220011,20220317,2018,,,,7,,65.13,,17,,,, 
1058679451,20220317,2017,2948296,,26.52,15,,4887.58,,2,,,, 
1058535742,20220317,2020,,,,3,,,,,,,, 
1058728911,20220317,2019,,,,4,,4496.63,,3,,,, 
1058165118,20220317,2018,,3578498.43,,5,,139600.54,,9,,0.41,,26
1058707196,20220317,2020,,,,8,,,,,,,, 
1058215333,20220317,2021,,,,,,,,,,,, 
1052235543,20220317,2019,,72468.79,,12,,666.05,,14,,,, 
1058208701,20220317,2018,,,,17,,11634.01,,60,,,, 
1058269125,20220317,2018,,,,,,,,,,,, 
1058690626,20220317,2019,,,,14,,13956.81,,25,,,, 
1058525638,20220317,2021,,,,,,,,,,,, 
1058722348,20220317,2021,,,,,,,,,,,, 
1058682150,20220317,2017,,,,11,,10468.07,,11,,,, 
1058638294,20220317,2018,,,,0,,11634.01,,19,,,, 
1058650094,20220317,2019,17234462,,17.58,10,,796.34,,7,,,, 
1058634468,20220317,2017,4133505,,0.14,11,,10468.07,,11,,,, 
1053390106,20220317,2019,,,,,,,,,,,, 
1058653524,20220317,2019,,,,49,,251.77,,38,,,, 
1058271238,20220317,2017,,,,11,,565.59,,12,,,, 
1058266415,20220317,2018,,,,10,,186.07,,92,,,, 
1058168643,20220317,2020,2743995,,39.04,5,,,,,,,, 
1058715018,20220317,2019,,,,11,,13956.81,,25,,,, 
1058146456,20220317,2018,,,,7,,65.13,,17,,,, 
1058619564,20220317,2017,3576788,,39.33,15,,4887.58,,2,2,,, 
1058539597,20220317,2017,,,,11,,565.59,,12,,,, 
1058272315,20220317,2021,,,,,,,,,,,, 
1058691756,20220317,2019,,,,10,,796.34,,6,,,, 
1058615855,20220317,2019,,,,10,,13956.81,,205,,,, 
1058514922,20220317,2017,3698692429,,4.99,11,,565.59,,12,,,, 
1052972926,20220317,2019,,,,10,,13956.81,,205,,,, 
1058617057,20220317,2019,,3497979.06,,8,,141540.34,,4,,,, 
1058726742,20220317,2020,,,,5,,,,,,,, 
1058693787,20220317,2017,26504526,,4.05,29,,10468.07,,11,,,, 
1058702696,20220317,2020,,,,8,,,,,,,, 
1058222270,20220317,2017,,,,10,,57.02,,48,,,, 
1058714663,20220317,2017,,,,11,,10468.07,,11,,,, 
1058673821,20220317,2019,,,,14,,13956.81,,25,,,, 
1058668876,20220317,2017,,3485855.73,,10,,128764.94,,21,,0.4,,28
1058263650,20220317,2019,,,,10,,796.34,,6,,,, 
1058665826,20220317,2019,,,,45,,13956.81,,205,,,, 
1052131633,20220317,2018,,70848.07,,6,,595.71,,53,,0.0,,5
1058009837,20220317,2019,,,,,,,,,,,, 
1058300972,20220317,2019,,,,10,,251.77,,10009,,,, 
1058301189,20220317,2018,,,,10,,186.07,,92,,,, 
1058685254,20220317,2019,,,,4,,4496.63,,3,,,, 
1052148416,20220317,2019,,,,,,,,,,,, 
1054166450,20220317,2017,,,,29,,10468.07,,11,,,, 
1058541415,20220317,2018,,,,7,,754.82,,35,,,, 
1058664680,20220317,2020,,,,5,,,,,,,, 
1058260949,20220317,2020,,,,8,,,,,,,, 
1058271408,20220317,2017,,,,,,,,,,,, 
1058710823,20220317,2017,3902980,,12.69,11,,565.59,,12,,,, 
1058525638,20220317,2018,,,,0,,11634.01,,16,,,, 
1058651579,20220317,2017,1702624,,13.66,22,,10468.07,,11,,,, 
1058538206,20220317,2021,,,,,,,,,,,, 
1058272237,20220317,2017,,,,5,,57.02,,9,,,, 
1058612595,20220317,2018,,3578498.43,,5,,139600.54,,9,,0.41,,26
1058218631,20220317,2018,,,,7,,65.13,,17,,,, 
1058541297,20220317,2021,,,,,,,,,,,, 
1058668288,20220317,2019,,,,10,,796.34,,6,,,, 
1058664598,20220317,2017,1853463,,,11,,10468.07,,11,,,, 
1058651109,20220317,2017,,,,22,,10468.07,,11,,,, 
1052223294,20220317,2021,,,,,,,,,,,, 
1058219756,20220317,2020,,,,20,,,,,,,, 
1058210323,20220317,2018,,,,7,,65.13,,17,,,, 
1058608859,20220317,2018,,,,0,,11634.01,,19,,,, 
1052123720,20220317,2018,573565,,41.11,14,,11634.01,,16,,,, 
1058262665,20220317,2017,,,,22,,10468.07,,11,,,, 
1058218801,20220317,2021,,,,,,,,,,,, 
1058268562,20220317,2018,,,,7,,754.82,,123,,,, 
1054304555,20220317,2018,,70848.07,,6,,595.71,,53,,0.0,,5
1058616999,20220317,2017,,,,15,,4887.58,,2,,,, 
1052082343,20220317,2018,,,,1,,4791.89,,1,,,, 
1058536246,20220317,2019,,,,10,,13956.81,,205,,,, 
1052122963,20220317,2019,,,,10,,251.77,,64,,,, 
1058658325,20220317,2017,,,,10,,565.59,,40,,,, 
1058675998,20220317,2019,,,,10,,796.34,,6,,,, 
1058210060,20220317,2019,,,,10,,13956.81,,205,,,, 
1058626478,20220317,2018,,,,7,,754.82,,35,,,, 
1058181398,20220317,2020,,,,5,,,,,,,, 
1058188805,20220317,2021,,,,,,,,,,,, 
1058693128,20220317,2020,,,,14,,,,,,,, 
1058217670,20220317,2017,,,,,,,,,,,, 
1058650866,20220317,2020,,,,2,,,,,,,, 
1058711405,20220317,2018,,,,7,,754.82,,35,,,, 
1058515765,20220317,2018,,,,0,,11634.01,,16,,,, 
1058530903,20220317,2021,,,,,,,,,,,, 
1058105371,20220317,2017,,,,15,,4887.58,,2,,,, 
1058616999,20220317,2021,,,,,,,,,,,, 
1058619813,20220317,2021,,,,,,,,,,,, 
1058670203,20220317,2017,,,,15,,4887.58,,2,,,, 
1058199506,20220317,2017,,,,11,,565.59,,12,,,, 
1058540167,20220317,2021,,,,,,,,,,,, 
1052188795,20220317,2019,,,,14,,13956.81,,25,,,, 
1058503046,20220317,2018,,,,0,,11634.01,,16,,,, 
1054385219,20220317,2019,,,,10,,13956.81,,205,,,, 
1058728037,20220317,2018,54371159,,44.12,0,,11634.01,,19,,,, 
1052544970,20220317,2018,,,,7,,754.82,,35,,,, 
1058260070,20220317,2021,,,,,,,,,,,, 
1058264168,20220317,2018,,,,7,,754.82,,123,,,, 
1058515713,20220317,2020,,,,,,,,,,,, 
1058273745,20220317,2019,,,,11,,63.75,,7,,,, 
1052226855,20220317,2021,,,,,,,,,,,, 
1058644189,20220317,2019,,,,4,,4496.63,,3,,,, 
1058666830,20220317,2018,,,,14,,11634.01,,16,,,, 
1058675659,20220317,2021,,,,,,,,,,,, 
1058703282,20220317,2019,,,,45,,13956.81,,205,,,, 
1058622905,20220317,2021,,,,,,,,,,,, 
1052092104,20220317,2019,,,,10,,796.34,,7,,,, 
1058272047,20220317,2020,,,,4,,,,,,,, 
1058606958,20220317,2021,,,,,,,,,,,, 
1058215124,20220317,2018,,,,7,,65.13,,17,,,, 
1058194229,20220317,2020,34744129,,10.58,1,,,,,,,, 
1052156046,20220317,2019,,,,10,,13956.81,,205,,,, 
1058660817,20220317,2020,3467263,,4.07,8,,,,,,,, 
1058706222,20220317,2018,,,,7,,754.82,,35,,,, 
1058314985,20220317,2020,,,,8,,,,,,,, 
1058213882,20220317,2020,,,,4,,,,,,,, 
1058222362,20220317,2017,,,,10,,57.02,,48,,,, 
1058515052,20220317,2019,,,,10,,796.34,,7,,,, 
1052178910,20220317,2018,,70848.07,,6,,595.71,,53,,0.0,,5
1052228227,20220317,2018,,,,,,,,,,,, 
1058638260,20220317,2021,,,,,,,,,,,, 
1058217229,20220317,2020,,,,8,,,,,,,, 
1052175233,20220317,2017,191185,,38.94,11,,10468.07,,11,,,, 
1052195447,20220317,2019,,,,,,,,,,,, 
1052185954,20220317,2018,,,,0,,11634.01,,19,,,, 
1058729322,20220317,2020,14009131,,0.42,8,,,,,,,, 
1058170848,20220317,2017,16626754,,11.38,7,,10468.07,,11,,,, 
1058628480,20220317,2018,22407977,,12.28,7,,754.82,,123,,,, 
1058723968,20220317,2018,,,,14,,11634.01,,16,,,, 
1058221776,20220317,2019,,,,9,,13956.81,,52,,,, 
1058210304,20220317,2018,,,,7,,65.13,,17,,,, 
1058104692,20220317,2020,26333963,,38.09,1,,,,,,,, 
1058692473,20220317,2018,,,,7,,754.82,,35,,,, 
