데이터수집일자,순번,ECOS산업분류코드,ISTANS산업분류코드,조사년도,산업분류코드설명,재무제표계정과목명,재무제표계정과목금액,손익계산서계정과목명,손익계산서계정과목금액,생산력지표계정과목명,생산력지표계정과목금액,성장성지표계정과목명,성장성지표계정과목금액,국내시장규모금액,매출액,당기순이익,영업이익,자기자본비율,차입금의존도금액
20220115,1,A01,0002,2017,농업|| 임업 및 어업,유동자산,2016933464,매출총손익,918572318,총자본투자효율,18.75,총자산증가율,7.59,72047857,,307631,394812,49,65
20220115,2,A01,0002,2017,농업|| 임업 및 어업,당좌자산,1455438688,매출총손익,918572318,노동소득분배율,70.23,매출액증가율,3.97,72047857,,307631,394812,49,65
20220115,3,A01,0002,2017,농업|| 임업 및 어업,부채및자본합계,251237896,당기순손익,11153608,기계투자효율,269.83,총자산증가율,7.59,72047857,,307631,394812,49,65
20220115,4,A01,0002,2017,농업|| 임업 및 어업,부채및자본합계,251237896,매출총손익,918572318,총자본투자효율,18.75,유형자산증가율,6.65,72047857,,307631,394812,49,65
20220115,5,A01,0002,2017,농업|| 임업 및 어업,유동자산,2016933464,매출액,3991487136,설비투자효율,61.01,유동자산증가율,7.69,72047857,,307631,394812,49,65
20220115,6,A01,0002,2017,농업|| 임업 및 어업,부채및자본합계,251237896,매출액,3991487136,설비투자효율,61.01,유형자산증가율,6.65,72047857,,307631,394812,49,65
20220115,7,A01,0002,2017,농업|| 임업 및 어업,유동자산,2016933464,매출총손익,918572318,설비투자효율,61.01,총자산증가율,7.59,72047857,,307631,394812,49,65
20220115,8,A01,0002,2017,농업|| 임업 및 어업,유동자산,2016933464,매출원가,3072914818,노동소득분배율,70.23,매출액증가율,3.97,72047857,,307631,394812,49,65
20220115,9,A01,0002,2017,농업|| 임업 및 어업,현금.현금성자산,297367128,매출총손익,918572318,노동소득분배율,70.23,총자산증가율,7.59,72047857,,307631,394812,49,65
20220115,10,A01,0002,2017,농업|| 임업 및 어업,유동자산,2016933464,매출총손익,918572318,설비투자효율,61.01,유동자산증가율,7.69,72047857,,307631,394812,49,65
