사업자등록번호,산업분류코드,평균근속기간,고용전망점수
1050508965,96910.0,,
1010204456,46510.0,5.65,
1048107174,50130.0,6.949999999999999,
1018102731,73203.0,6.300000000000001,
1018606595,68122.0,5.199999999999999,
1018609361,75210.0,5.4,
1018606703,59120.0,6.15,
1048106371,46320.0,5.7,
1048104500,56130.0,7.3,
1010109319,46800.0,5.65,
1010607727,75992.0,5.35,
1018109849,41121.0,5.65,
1018100845,63910.0,7.05,
1018606202,71310.0,6.300000000000001,
1050707660,68111.0,5.199999999999999,
1050905695,0.0,,
7912209314,47312.0,,
1101904548,47312.0,,
6538602141,26299.0,6.65,
2748206879,46419.0,6.050000000000001,
1068100064,58219.0,6.5,
5618600292,58222.0,6.1,
1058107318,68112.0,5.199999999999999,
2068207478,94900.0,5.5,
2188105332,62021.0,6.1,
2018104392,13213.0,6.65,
1058704871,59114.0,6.15,
3789008729,85500.0,,
1233601439,26400.0,,
8141204758,47312.0,,
1118109140,42202.0,5.65,
1058700765,46800.0,6.050000000000001,
1223201117,0.0,,
5148705170,56110.0,4.5,
1308702348,58000.0,6.15,
8808700839,20500.0,9.45,
1608104528,46510.0,5.65,
1051600556,47420.0,,
1348701081,20423.0,6.65,
5398708606,10791.0,,
3658102937,47919.0,6.050000000000001,
7388709716,42321.0,5.7,
5988802413,63991.0,6.5,
1058809852,71310.0,6.300000000000001,
1051609129,0.0,,
1968706970,47310.0,5.65,
2568100771,47911.0,5.65,
5368103050,26410.0,6.65,
3671700068,0.0,,
8261900715,0.0,,
3350407245,47312.0,5.65,
1050504300,46739.0,5.65,
1058103977,68119.0,5.199999999999999,
6958108070,59111.0,6.15,
6228100218,28909.0,6.65,
2142907946,0.0,,
6304104333,47911.0,,
3148506198,73209.0,7.2,
8598701095,26410.0,6.7,
1094904053,47910.0,,
3128106320,42311.0,5.7,
3908701051,70209.0,6.300000000000001,
1058107992,56130.0,5.45,
2438701994,46492.0,6.050000000000001,
1248708907,75310.0,6.3,
3488704865,42321.0,5.65,
5433705452,28000.0,,
5298502574,47910.0,8.45,
1118609772,58222.0,6.1,
2398806715,15129.0,6.65,
5588701363,26410.0,6.65,
2680108957,26400.0,,
6814704972,47312.0,,
4788107582,26400.0,6.65,
5658603739,46522.0,5.65,
3248106694,61210.0,6.1,
8288109212,46522.0,5.7,
8528105963,26410.0,6.65,
8088806555,26410.0,6.65,
1082301973,46000.0,,
8392808514,47310.0,,
8051704942,47910.0,,
8528808378,95120.0,5.5,
7278706002,46522.0,5.65,
8288107821,63999.0,6.1,
5777003456,46000.0,,
8396408157,0.0,,
5828609093,42321.0,5.65,
8138703962,42321.0,5.65,
1678808317,47912.0,5.65,
3013104682,42321.0,,
1688705965,68121.0,5.25,
5968801652,46107.0,6.050000000000001,
2118809807,75210.0,5.35,
8298101004,60221.0,6.5,
4524705513,56210.0,,
1058809896,75992.0,5.4,
1208106136,29269.0,7.050000000000001,
1198101270,26310.0,7.050000000000001,
1058103374,58220.0,6.15,
1051508340,96910.0,,
6588802272,62010.0,6.1,
7098703466,71310.0,6.300000000000001,
4898704867,45219.0,5.65,
2010406971,14490.0,6.65,
1138605728,62010.0,6.15,
1058609455,52990.0,6.8999999999999995,
2968706941,46699.0,5.7,
1304207829,59000.0,,
1058103219,46464.0,6.050000000000001,
2118602461,85700.0,7.5,
2118607909,73200.0,6.25,
8418804111,41229.0,5.65,
1052004424,46595.0,5.65,
1050309897,14130.0,6.65,
1058101188,26120.0,7.6,
1058602865,21210.0,7.050000000000001,
1198600720,71310.0,6.65,
1968603655,58222.0,6.1,
1058106665,52992.0,6.949999999999999,
2118803864,46103.0,5.7,
3628601219,10791.0,6.7,
8068602985,33910.0,6.65,
8264803025,75990.0,5.4,
3062300714,46522.0,,
1212507290,26000.0,6.65,
4118804329,47919.0,5.65,
7968109315,47912.0,5.65,
2243705484,46000.0,,
1651508523,47910.0,,
6341004775,47910.0,,
6298702761,47919.0,5.65,
5841904445,26400.0,,
7535204645,47312.0,,
8204409316,34019.0,,
4578704161,47910.0,6.050000000000001,
8670203563,47312.0,,
1538705173,47919.0,5.65,
4525604915,26400.0,,
2208804995,42202.0,5.7,
1108104977,46591.0,5.7,
2018209072,94990.0,5.9,
1078607588,46464.0,5.65,
1108102989,42412.0,6.050000000000001,
2094404434,26400.0,,
6798706076,47919.0,5.65,
1938809330,26421.0,6.65,
1058704546,75999.0,5.35,
1223503177,73301.0,6.25,
1378806252,62010.0,6.15,
1059103193,86201.0,5.5,
4028800777,58221.0,6.1,
1058609318,14110.0,6.65,
1078703684,46800.0,5.7,
8458600550,20423.0,7.050000000000001,
1058106723,52991.0,6.949999999999999,
1054207368,0.0,,
6148802862,46443.0,5.7,
4458704909,85709.0,7.1,
7798102712,85699.0,7.15,
1068602356,75992.0,5.35,
8298105524,73901.0,6.300000000000001,
1998103546,33999.0,6.7,
6968809555,59201.0,6.1,
6473504186,86000.0,,
2208703664,71530.0,6.25,
2030204979,15110.0,,
1052806816,96910.0,,
1058707096,75110.0,5.35,
