사업자등록번호,산업분류코드,근무환경평균만족도
1050508965,96910.0,324.4
1010204456,46510.0,324.4
1048107174,50130.0,324.4
1018102731,73203.0,324.4
1018606595,68122.0,324.4
1018609361,75210.0,324.4
1018606703,59120.0,324.4
1048106371,46320.0,324.4
1048104500,56130.0,324.4
1010109319,46800.0,324.4
1010607727,75992.0,324.4
1018109849,41121.0,324.4
1018100845,63910.0,324.4
1018606202,71310.0,324.4
1050707660,68111.0,324.4
1050905695,,321.1
7912209314,47312.0,324.4
1101904548,47312.0,324.4
6538602141,26299.0,309.90000000000003
2748206879,46419.0,324.4
1068100064,58219.0,324.4
5618600292,58222.0,324.4
1058107318,68112.0,324.4
2068207478,94900.0,324.4
2188105332,62021.0,324.4
2018104392,13213.0,309.90000000000003
1058704871,59114.0,324.4
3789008729,85500.0,324.4
1233601439,26400.0,309.90000000000003
8141204758,47312.0,324.4
1118109140,42202.0,324.4
1058700765,46800.0,324.4
1223201117,,321.1
5148705170,56110.0,324.4
1308702348,58000.0,324.4
8808700839,20500.0,309.90000000000003
1608104528,46510.0,324.4
1051600556,47420.0,324.4
1348701081,20423.0,309.90000000000003
5398708606,10791.0,309.90000000000003
3658102937,47919.0,324.4
7388709716,42321.0,324.4
5988802413,63991.0,324.4
1058809852,71310.0,324.4
1051609129,,321.1
1968706970,47310.0,324.4
2568100771,47911.0,324.4
5368103050,26410.0,309.90000000000003
3671700068,,321.1
8261900715,,321.1
3350407245,47312.0,324.4
1050504300,46739.0,324.4
1058103977,68119.0,324.4
6958108070,59111.0,324.4
6228100218,28909.0,309.90000000000003
2142907946,,321.1
6304104333,47911.0,324.4
3148506198,73209.0,324.4
8598701095,26410.0,309.90000000000003
1094904053,47910.0,324.4
3128106320,42311.0,324.4
3908701051,70209.0,324.4
1058107992,56130.0,324.4
2438701994,46492.0,324.4
1248708907,75310.0,324.4
3488704865,42321.0,324.4
5433705452,28000.0,309.90000000000003
5298502574,47910.0,324.4
1118609772,58222.0,324.4
2398806715,15129.0,309.90000000000003
5588701363,26410.0,309.90000000000003
2680108957,26400.0,309.90000000000003
6814704972,47312.0,324.4
4788107582,26400.0,309.90000000000003
5658603739,46522.0,324.4
3248106694,61210.0,324.4
8288109212,46522.0,324.4
8528105963,26410.0,309.90000000000003
8088806555,26410.0,309.90000000000003
1082301973,46000.0,324.4
8392808514,47310.0,324.4
8051704942,47910.0,324.4
8528808378,95120.0,324.4
7278706002,46522.0,324.4
8288107821,63999.0,324.4
5777003456,46000.0,324.4
8396408157,,321.1
5828609093,42321.0,324.4
8138703962,42321.0,324.4
1678808317,47912.0,324.4
3013104682,42321.0,324.4
1688705965,68121.0,324.4
5968801652,46107.0,324.4
2118809807,75210.0,324.4
8298101004,60221.0,324.4
4524705513,56210.0,324.4
1058809896,75992.0,324.4
1208106136,29269.0,309.90000000000003
1198101270,26310.0,309.90000000000003
1058103374,58220.0,324.4
