사업자등록번호,직군명,복지및급여점수,평가자수
1011106242,알수없음,80.0,6
1018100030,경영/기획/컨설팅,20.0,1
1018100030,연구개발,40.0,8
1018100096,서비스/고객지원,40.0,5
1018100096,영업/제휴,40.0,3
1018100096,유통/무역,40.0,1
1018100111,IT/인터넷,48.888888888888886,9
1018100198,IT/인터넷,60.0,1
1018100198,경영/기획/컨설팅,60.0,1
1018100198,마케팅/시장조사,40.0,1
1018100198,서비스/고객지원,40.0,2
1018100198,영업/제휴,53.333333333333336,3
1018100211,IT/인터넷,40.0,6
1018100211,생산관리/품질관리,20.0,1
1018100211,인사/총무,40.0,2
1018100441,디자인,60.0,2
1018100441,엔지니어링,88.0,5
1018100441,인사/총무,80.0,2
1018100451,경영/기획/컨설팅,46.666666666666664,3
1018100451,디자인,80.0,2
1018100451,엔지니어링,25.0,4
1018100741,IT/인터넷,48.57142857142857,7
1018100741,디자인,80.0,1
1018100741,서비스/고객지원,20.0,1
1018100764,IT/인터넷,62.5,8
1018100845,IT/인터넷,20.0,1
1018100845,경영/기획/컨설팅,60.0,3
1018100845,미디어/홍보,36.0,5
1018101006,디자인,40.0,3
1018101006,마케팅/시장조사,80.0,2
1018101006,미디어/홍보,55.0,4
1018101199,알수없음,20.0,6
1018101768,IT/인터넷,37.142857142857146,7
1018101768,서비스/고객지원,40.0,2
1018102529,IT/인터넷,25.0,8
1018102529,영업/제휴,20.0,1
1018102731,경영/기획/컨설팅,53.333333333333336,3
1018102731,교육,40.0,1
1018102731,디자인,35.0,4
1018102731,마케팅/시장조사,20.0,1
1018102796,전직원,20.0,1
1018102876,IT/인터넷,63.333333333333336,6
1018102876,경영/기획/컨설팅,70.0,2
1018102876,영업/제휴,80.0,1
1018102956,교육,36.0,5
1018102956,미디어/홍보,20.0,2
1018102956,인사/총무,20.0,2
1018103378,알수없음,53.333333333333336,9
1018103591,IT/인터넷,20.0,1
1018103591,마케팅/시장조사,20.0,2
1018103591,서비스/고객지원,46.666666666666664,3
1018103591,영업/제휴,20.0,2
